frame_number,frame_size,frame_area,position,class_id,class_name,score,bbox,speed,area,area_relative,object_id,x_position,y_position,final_class,final_class_name,label
68,"(2160, 3840)",8294400,"(1202, 632)",4,Missile,0.3901280164718628,"[1180.9180297851562, 628.261962890625, 1223.099609375, 636.2413330078125]",0.0,336.5824356749654,4.0579479609732516e-05,4,1202,632,4,Missile,4 Missile
72,"(2160, 3840)",8294400,"(1341, 631)",4,Missile,0.1983344852924347,"[1321.3449935913086, 626.6594848632812, 1361.2108688354492, 635.4073486328125]",4165.941970302472,348.74124568887055,4.2045385523831807e-05,4,1341,631,4,Missile,4 Missile
73,"(2160, 3840)",8294400,"(1374, 633)",4,Missile,0.3703756332397461,"[1354.1102828979492, 629.2294311523438, 1395.1672897338867, 637.4483032226562]",990.8256895993931,337.4422867745161,4.068314607138745e-05,4,1374,633,4,Missile,4 Missile
74,"(2160, 3840)",8294400,"(1408, 636)",4,Missile,0.37191134691238403,"[1387.1476516723633, 632.1705322265625, 1429.1587829589844, 640.7032470703125]",1022.9399500025581,358.46900353208184,4.321819583478996e-05,4,1408,636,4,Missile,4 Missile
75,"(2160, 3840)",8294400,"(1439, 639)",4,Missile,0.30434420704841614,"[1418.6028594970703, 634.8984375, 1461.1350860595703, 644.0703735351562]",933.4112788649812,390.1028614640236,4.7032077240550686e-05,4,1439,639,4,Missile,4 Missile
76,"(2160, 3840)",8294400,"(1474, 644)",4,Missile,0.32740357518196106,"[1456.1329956054688, 640.0196533203125, 1492.5242919921875, 648.5010986328125]",1059.6005712086128,308.65079015493393,3.7211949044528105e-05,4,1474,644,4,Missile,4 Missile
77,"(2160, 3840)",8294400,"(1504, 646)",4,Missile,0.2075866460800171,"[1487.3005828857422, 642.5579223632812, 1521.9104614257812, 651.3291015625]",901.0966860163581,303.569446737878,3.659932565801963e-05,4,1504,646,4,Missile,4 Missile
79,"(2160, 3840)",8294400,"(1572, 658)",4,Missile,0.19479867815971375,"[1555.085205078125, 653.10205078125, 1590.4488525390625, 663.7112426757812]",2069.4517284673807,375.17972200363874,4.523289472458993e-05,4,1572,658,4,Missile,4 Missile
80,"(2160, 3840)",8294400,"(1601, 663)",4,Missile,0.11693143844604492,"[1585.239990234375, 658.7421264648438, 1617.8626403808594, 667.7734375]",881.9543837899397,294.625300263986,3.552099009741344e-05,4,1601,663,4,Missile,4 Missile
