frame_number,frame_size,frame_area,position,class_id,class_name,score,bbox,speed,area,area_relative,object_id,x_position,y_position,final_class,final_class_name,label
11,"(1920, 1080)",2073600,"(431, 1130)",5,Military_Aircraft,0.7270485758781433,"[395.4608154296875, 1113.3562622070312, 466.80926513671875, 1147.1653442382812]",67.015024300693,2412.2255889475346,0.0011633032354106552,0,431,1130,5,Military_Aircraft,0 Military_Aircraft
12,"(1920, 1080)",2073600,"(430, 1130)",0,Bird,0.6956573724746704,"[387.1732177734375, 1110.449462890625, 473.439697265625, 1150.834716796875]",29.97002997002997,3483.8936778903008,0.0016801184789208626,0,430,1130,5,Military_Aircraft,0 Military_Aircraft
13,"(1920, 1080)",2073600,"(429, 1130)",0,Bird,0.5272641181945801,"[391.3748474121094, 1106.8048095703125, 467.68505859375, 1154.127685546875]",29.97002997002997,3611.218659494072,0.0017415213442776196,0,429,1130,5,Military_Aircraft,0 Military_Aircraft
14,"(1920, 1080)",2073600,"(425, 1127)",0,Bird,0.5915493965148926,"[383.4813537597656, 1105.1602783203125, 467.373046875, 1149.830322265625]",149.85014985014985,3747.4456181041896,0.0018072172155209247,0,425,1127,5,Military_Aircraft,0 Military_Aircraft
15,"(1920, 1080)",2073600,"(425, 1129)",0,Bird,0.6539617776870728,"[383.8162536621094, 1108.41455078125, 467.3145446777344, 1150.513916015625]",59.94005994005994,3515.2250499129295,0.001695228129780541,0,425,1129,5,Military_Aircraft,0 Military_Aircraft
16,"(1920, 1080)",2073600,"(422, 1127)",5,Military_Aircraft,0.6879249215126038,"[388.7327880859375, 1110.5531005859375, 455.8741455078125, 1145.2113647460938]",108.05847978413554,2327.002901598811,0.0011222043314037477,0,422,1127,5,Military_Aircraft,0 Military_Aircraft
17,"(1920, 1080)",2073600,"(422, 1128)",0,Bird,0.7196670174598694,"[378.18878173828125, 1105.72705078125, 466.6611328125, 1150.5936279296875]",29.97002997002997,3969.451564975083,0.0019142802686029528,0,422,1128,5,Military_Aircraft,0 Military_Aircraft
18,"(1920, 1080)",2073600,"(421, 1129)",2,Drone,0.6318914294242859,"[386.8436279296875, 1110.4658813476562, 456.6263427734375, 1147.9135131835938]",42.38402284834451,2613.197413980961,0.0012602225183164356,0,421,1129,5,Military_Aircraft,0 Military_Aircraft
19,"(1920, 1080)",2073600,"(419, 1127)",5,Military_Aircraft,0.7618037462234497,"[382.997802734375, 1111.5704650878906, 455.68695068359375, 1143.9746398925781]",84.76804569668901,2355.4318565502763,0.0011359142826727797,0,419,1127,5,Military_Aircraft,0 Military_Aircraft
20,"(1920, 1080)",2073600,"(420, 1128)",0,Bird,0.5682701468467712,"[376.82611083984375, 1107.3551025390625, 464.3477783203125, 1150.2000732421875]",42.38402284834451,3749.8632790893316,0.001808383139992926,0,420,1128,5,Military_Aircraft,0 Military_Aircraft
21,"(1920, 1080)",2073600,"(418, 1127)",0,Bird,0.5837958455085754,"[383.3916320800781, 1106.84814453125, 453.9375, 1148.93603515625]",67.015024300693,2969.126773059368,0.0014318705502794021,0,418,1127,5,Military_Aircraft,0 Military_Aircraft
22,"(1920, 1080)",2073600,"(416, 1126)",0,Bird,0.5772848129272461,"[375.0284423828125, 1104.9903564453125, 458.39697265625, 1147.8011474609375]",67.015024300693,3569.072726815939,0.001721196338163551,0,416,1126,5,Military_Aircraft,0 Military_Aircraft
23,"(1920, 1080)",2073600,"(415, 1128)",0,Bird,0.672970175743103,"[376.04827880859375, 1107.2801513671875, 454.7879333496094, 1148.990966796875]",67.015024300693,3284.295197557658,0.0015838614957357532,0,415,1128,5,Military_Aircraft,0 Military_Aircraft
24,"(1920, 1080)",2073600,"(413, 1126)",5,Military_Aircraft,0.5782743692398071,"[378.554931640625, 1107.5726928710938, 448.020263671875, 1144.8704223632812]",84.76804569668901,2590.89916318655,0.0012494691180490692,0,413,1126,5,Military_Aircraft,0 Military_Aircraft
25,"(1920, 1080)",2073600,"(414, 1126)",0,Bird,0.6705693006515503,"[370.6847229003906, 1104.8865966796875, 457.79254150390625, 1147.7691650390625]",29.97002997002997,3735.406985901296,0.0018014115479848072,0,414,1126,5,Military_Aircraft,0 Military_Aircraft
26,"(1920, 1080)",2073600,"(413, 1127)",0,Bird,0.34382596611976624,"[377.8497009277344, 1108.3173828125, 449.9386901855469, 1146.8607177734375]",42.38402284834451,2778.5500599592924,0.0013399643421871587,0,413,1127,5,Military_Aircraft,0 Military_Aircraft
27,"(1920, 1080)",2073600,"(411, 1125)",5,Military_Aircraft,0.7017818689346313,"[374.38922119140625, 1108.4069519042969, 448.5062255859375, 1143.0555725097656]",84.76804569668901,2568.0519656799734,0.001238450986535481,0,411,1125,5,Military_Aircraft,0 Military_Aircraft
28,"(1920, 1080)",2073600,"(412, 1126)",0,Bird,0.5815733671188354,"[368.91094970703125, 1107.327392578125, 456.10107421875, 1146.4625244140625]",42.38402284834451,3412.197017557919,0.0016455425431895828,0,412,1126,5,Military_Aircraft,0 Military_Aircraft
29,"(1920, 1080)",2073600,"(412, 1126)",0,Bird,0.6104542016983032,"[368.8273010253906, 1107.099365234375, 455.97930908203125, 1146.5897216796875]",0.0,3441.663863081485,0.0016597530203903766,0,412,1126,5,Military_Aircraft,0 Military_Aircraft
30,"(1920, 1080)",2073600,"(411, 1126)",0,Bird,0.6088982820510864,"[376.8234558105469, 1107.43505859375, 446.5950622558594, 1145.671875]",29.97002997002997,2667.8441060185432,0.0012865760542141896,0,411,1126,5,Military_Aircraft,0 Military_Aircraft
31,"(1920, 1080)",2073600,"(409, 1126)",0,Bird,0.6772910356521606,"[365.5604553222656, 1102.6468505859375, 453.5310974121094, 1149.4578857421875]",59.94005994005994,4117.996819585562,0.0019859166761118643,0,409,1126,5,Military_Aircraft,0 Military_Aircraft
32,"(1920, 1080)",2073600,"(409, 1128)",0,Bird,0.556083619594574,"[367.70465087890625, 1107.2476806640625, 451.7929992675781, 1149.0850830078125]",59.94005994005994,3518.0380639582872,0.0016965847144860568,0,409,1128,5,Military_Aircraft,0 Military_Aircraft
33,"(1920, 1080)",2073600,"(408, 1126)",5,Military_Aircraft,0.5093905329704285,"[373.17730712890625, 1108.0488891601562, 444.05377197265625, 1145.0584106445312]",67.015024300693,2623.104048371315,0.0012650000233272159,0,408,1126,5,Military_Aircraft,0 Military_Aircraft
34,"(1920, 1080)",2073600,"(409, 1126)",0,Bird,0.5405278205871582,"[365.434326171875, 1104.4010009765625, 452.8590393066406, 1148.9407958984375]",29.97002997002997,3893.8787941262126,0.0018778350666117923,0,409,1126,5,Military_Aircraft,0 Military_Aircraft
35,"(1920, 1080)",2073600,"(408, 1126)",0,Bird,0.503980278968811,"[370.1436767578125, 1106.2410888671875, 447.52789306640625, 1147.755859375]",29.97002997002997,3212.587980978191,0.0015492804692217356,0,408,1126,5,Military_Aircraft,0 Military_Aircraft
36,"(1920, 1080)",2073600,"(407, 1126)",5,Military_Aircraft,0.7837624549865723,"[370.85699462890625, 1110.7259521484375, 444.80169677734375, 1142.782470703125]",29.97002997002997,2370.4097164422274,0.0011431374018336358,0,407,1126,5,Military_Aircraft,0 Military_Aircraft
37,"(1920, 1080)",2073600,"(408, 1127)",5,Military_Aircraft,0.6401633024215698,"[369.39593505859375, 1112.0057373046875, 447.5338134765625, 1142.7999267578125]",42.38402284834451,2406.192631468177,0.0011603938230459957,0,408,1127,5,Military_Aircraft,0 Military_Aircraft
38,"(1920, 1080)",2073600,"(407, 1127)",5,Military_Aircraft,0.7486713528633118,"[375.57598876953125, 1111.4888610839844, 439.41400146484375, 1143.2911071777344]",29.97002997002997,2030.1921898722649,0.000979066449591177,0,407,1127,5,Military_Aircraft,0 Military_Aircraft
39,"(1920, 1080)",2073600,"(408, 1127)",5,Military_Aircraft,0.7423790097236633,"[369.0618896484375, 1110.9788513183594, 447.55438232421875, 1143.3592834472656]",29.97002997002997,2541.6208317168057,0.0012257044906041695,0,408,1127,5,Military_Aircraft,0 Military_Aircraft
40,"(1920, 1080)",2073600,"(407, 1127)",5,Military_Aircraft,0.7529507279396057,"[370.9371643066406, 1112.8626098632812, 443.5779724121094, 1142.6697387695312]",29.97002997002997,2165.213931053877,0.0010441811010097786,0,407,1127,5,Military_Aircraft,0 Military_Aircraft
41,"(1920, 1080)",2073600,"(407, 1127)",5,Military_Aircraft,0.8171805143356323,"[373.46197509765625, 1111.6619262695312, 440.60772705078125, 1143.3687133789062]",0.0,2128.976062476635,0.0010267052770431303,0,407,1127,5,Military_Aircraft,0 Military_Aircraft
42,"(1920, 1080)",2073600,"(408, 1127)",0,Bird,0.6763062477111816,"[364.7167053222656, 1105.94189453125, 452.6027526855469, 1149.296142578125]",29.97002997002997,3810.2334972471,0.0018374968640273437,0,408,1127,5,Military_Aircraft,0 Military_Aircraft
43,"(1920, 1080)",2073600,"(408, 1128)",0,Bird,0.45130014419555664,"[370.8283996582031, 1107.4599609375, 447.0429382324219, 1150.478759765625]",29.97002997002997,3278.657902702689,0.0015811428928928864,0,408,1128,5,Military_Aircraft,0 Military_Aircraft
44,"(1920, 1080)",2073600,"(408, 1127)",5,Military_Aircraft,0.7974695563316345,"[370.7529296875, 1111.81884765625, 445.7547607421875, 1143.95458984375]",29.97002997002997,2410.2395063638687,0.0011623454409547978,0,408,1127,5,Military_Aircraft,0 Military_Aircraft
45,"(1920, 1080)",2073600,"(408, 1128)",5,Military_Aircraft,0.7637616395950317,"[369.9505615234375, 1113.9083251953125, 447.754150390625, 1143.801513671875]",29.97002997002997,2325.797346159816,0.001121622948572442,0,408,1128,5,Military_Aircraft,0 Military_Aircraft
46,"(1920, 1080)",2073600,"(408, 1128)",5,Military_Aircraft,0.59620600938797,"[376.69342041015625, 1111.6701049804688, 441.0499267578125, 1144.9181518554688]",0.0,2139.72813975811,0.0010318904994975453,0,408,1128,5,Military_Aircraft,0 Military_Aircraft
47,"(1920, 1080)",2073600,"(410, 1127)",0,Bird,0.5449411869049072,"[367.0672302246094, 1105.7347412109375, 454.7249450683594, 1149.4610595703125]",67.015024300693,3832.949145913124,0.0018484515557065607,0,410,1127,5,Military_Aircraft,0 Military_Aircraft
48,"(1920, 1080)",2073600,"(410, 1129)",5,Military_Aircraft,0.6971913576126099,"[374.9314880371094, 1114.1429138183594, 445.6797180175781, 1144.5984191894531]",59.94005994005994,2154.673098165542,0.0010390977518159442,0,410,1129,5,Military_Aircraft,0 Military_Aircraft
49,"(1920, 1080)",2073600,"(410, 1129)",5,Military_Aircraft,0.8328382968902588,"[376.23004150390625, 1114.5206604003906, 444.74249267578125, 1144.5792541503906]",0.0,2059.387936592102,0.000993146188557148,0,410,1129,5,Military_Aircraft,0 Military_Aircraft
50,"(1920, 1080)",2073600,"(410, 1129)",0,Bird,0.722150444984436,"[368.145263671875, 1107.401123046875, 453.4267578125, 1150.7718505859375]",0.0,3698.720446497202,0.0017837193511271228,0,410,1129,5,Military_Aircraft,0 Military_Aircraft
51,"(1920, 1080)",2073600,"(414, 1130)",0,Bird,0.6852038502693176,"[374.2519226074219, 1107.103271484375, 453.9906921386719, 1154.4964599609375]",123.56959916936046,3779.0745332837105,0.0018224703574863572,0,414,1130,5,Military_Aircraft,0 Military_Aircraft
52,"(1920, 1080)",2073600,"(412, 1130)",5,Military_Aircraft,0.8561927080154419,"[375.826416015625, 1115.6315307617188, 449.2882080078125, 1144.9725952148438]",59.94005994005994,2155.4471736848354,0.0010394710521242454,0,412,1130,5,Military_Aircraft,0 Military_Aircraft
53,"(1920, 1080)",2073600,"(413, 1129)",0,Bird,0.7138643264770508,"[368.8865661621094, 1109.032470703125, 458.2350769042969, 1150.87939453125]",42.38402284834451,3738.9603231847286,0.001803125155856833,0,413,1129,5,Military_Aircraft,0 Military_Aircraft
54,"(1920, 1080)",2073600,"(415, 1130)",5,Military_Aircraft,0.715338945388794,"[384.03204345703125, 1115.2938232421875, 446.01617431640625, 1145.9857177734375]",67.015024300693,1902.410406947136,0.0009174432903873148,0,415,1130,5,Military_Aircraft,0 Military_Aircraft
55,"(1920, 1080)",2073600,"(415, 1129)",0,Bird,0.5200769305229187,"[375.0151672363281, 1107.11572265625, 456.1015930175781, 1152.4390869140625]",29.97002997002997,3675.1096120476723,0.0017723329533408914,0,415,1129,5,Military_Aircraft,0 Military_Aircraft
56,"(1920, 1080)",2073600,"(417, 1131)",0,Bird,0.6587633490562439,"[376.51995849609375, 1110.9656982421875, 458.32049560546875, 1152.444580078125]",84.76804569668901,3392.994812875986,0.0016362822207156569,0,417,1131,5,Military_Aircraft,0 Military_Aircraft
57,"(1920, 1080)",2073600,"(416, 1131)",5,Military_Aircraft,0.8278539776802063,"[382.48248291015625, 1116.1097106933594, 451.45965576171875, 1146.9445495605469]",29.97002997002997,2126.90001039207,0.0010257040945177807,0,416,1131,5,Military_Aircraft,0 Military_Aircraft
58,"(1920, 1080)",2073600,"(418, 1130)",0,Bird,0.7296239733695984,"[371.565673828125, 1108.395263671875, 465.82342529296875, 1153.0283203125]",67.015024300693,4207.011559948325,0.00202884430938866,0,418,1130,5,Military_Aircraft,0 Military_Aircraft
59,"(1920, 1080)",2073600,"(419, 1132)",0,Bird,0.4807506799697876,"[379.6831970214844, 1109.399169921875, 458.8102111816406, 1154.6214599609375]",67.015024300693,3578.3047842755914,0.0017256485263674726,0,419,1132,5,Military_Aircraft,0 Military_Aircraft
60,"(1920, 1080)",2073600,"(418, 1131)",5,Military_Aircraft,0.5226725935935974,"[380.010986328125, 1113.0130004882812, 457.5284423828125, 1149.9749145507812]",42.38402284834451,2865.1935490369797,0.0013817484322130496,0,418,1131,5,Military_Aircraft,0 Military_Aircraft
61,"(1920, 1080)",2073600,"(420, 1133)",5,Military_Aircraft,0.6597567796707153,"[379.996337890625, 1118.7405700683594, 461.38153076171875, 1148.3391418457031]",84.76804569668901,2408.8854728080332,0.0011616924540933803,0,420,1133,5,Military_Aircraft,0 Military_Aircraft
62,"(1920, 1080)",2073600,"(421, 1132)",0,Bird,0.3861043453216553,"[388.4027099609375, 1114.7990417480469, 455.404052734375, 1151.1694030761719]",42.38402284834451,2436.8630461394787,0.0011751847251830047,0,421,1132,5,Military_Aircraft,0 Military_Aircraft
63,"(1920, 1080)",2073600,"(422, 1132)",2,Drone,0.6497515439987183,"[379.630126953125, 1113.3502807617188, 465.72967529296875, 1151.4102172851562]",29.97002997002997,3276.9433445110917,0.0015803160419131422,0,422,1132,5,Military_Aircraft,0 Military_Aircraft
64,"(1920, 1080)",2073600,"(423, 1134)",5,Military_Aircraft,0.5354354381561279,"[385.45697021484375, 1119.1846313476562, 461.32183837890625, 1150.2157592773438]",67.015024300693,2354.1724293679,0.0011353069200269578,0,423,1134,5,Military_Aircraft,0 Military_Aircraft
65,"(1920, 1080)",2073600,"(424, 1133)",5,Military_Aircraft,0.8303297162055969,"[389.940673828125, 1117.1217041015625, 458.82373046875, 1148.9977416992188]",42.38402284834451,2195.7189033180475,0.0010588922180353238,0,424,1133,5,Military_Aircraft,0 Military_Aircraft
66,"(1920, 1080)",2073600,"(424, 1133)",0,Bird,0.5049275159835815,"[381.66357421875, 1113.3216552734375, 468.11663818359375, 1153.209716796875]",0.0,3448.445134319365,0.0016630233093746939,0,424,1133,5,Military_Aircraft,0 Military_Aircraft
67,"(1920, 1080)",2073600,"(426, 1134)",0,Bird,0.6465458273887634,"[389.4320068359375, 1112.375244140625, 463.89404296875, 1156.1209716796875]",67.015024300693,3257.3959446698427,0.001570889248008219,0,426,1134,5,Military_Aircraft,0 Military_Aircraft
68,"(1920, 1080)",2073600,"(427, 1133)",5,Military_Aircraft,0.8363319635391235,"[390.5069580078125, 1117.8731079101562, 464.65899658203125, 1149.2058715820312]",42.38402284834451,2323.388300433755,0.0011204611788357228,0,427,1133,5,Military_Aircraft,0 Military_Aircraft
69,"(1920, 1080)",2073600,"(428, 1134)",5,Military_Aircraft,0.6826454401016235,"[387.58648681640625, 1119.4921264648438, 468.76031494140625, 1149.6029663085938]",42.38402284834451,2444.2121381759644,0.0011787288474999827,0,428,1134,5,Military_Aircraft,0 Military_Aircraft
70,"(1920, 1080)",2073600,"(429, 1134)",5,Military_Aircraft,0.6568500399589539,"[397.427001953125, 1117.74560546875, 462.2083740234375, 1150.8369140625]",29.97002997002997,2143.7003743052483,0.001033806121867886,0,429,1134,5,Military_Aircraft,0 Military_Aircraft
71,"(1920, 1080)",2073600,"(432, 1133)",0,Bird,0.6120957732200623,"[388.4169616699219, 1112.598876953125, 475.9816589355469, 1154.8238525390625]",94.77355624880258,3697.417204231024,0.0017830908585219057,0,432,1133,5,Military_Aircraft,0 Military_Aircraft
72,"(1920, 1080)",2073600,"(432, 1133)",0,Bird,0.5212575793266296,"[392.4140625, 1114.5377197265625, 471.6735534667969, 1153.033203125]",0.0,3051.132418680936,0.0014714180259842477,0,432,1133,5,Military_Aircraft,0 Military_Aircraft
73,"(1920, 1080)",2073600,"(432, 1134)",5,Military_Aircraft,0.8509725332260132,"[398.82781982421875, 1120.1498413085938, 466.91156005859375, 1149.7738647460938]",29.97002997002997,2016.9143164157867,0.0009726631541356997,0,432,1134,5,Military_Aircraft,0 Military_Aircraft
74,"(1920, 1080)",2073600,"(434, 1134)",0,Bird,0.702294647693634,"[388.9043273925781, 1114.0987548828125, 479.5970153808594, 1154.2567138671875]",59.94005994005994,3642.0332444161177,0.0017563817729630198,0,434,1134,5,Military_Aircraft,0 Military_Aircraft
75,"(1920, 1080)",2073600,"(436, 1135)",5,Military_Aircraft,0.7977667450904846,"[398.48138427734375, 1119.2403564453125, 474.09051513671875, 1150.9278564453125]",67.015024300693,2395.8643341064453,0.0011554129697658397,0,436,1135,5,Military_Aircraft,0 Military_Aircraft
76,"(1920, 1080)",2073600,"(440, 1135)",0,Bird,0.6001731157302856,"[394.6652526855469, 1114.335205078125, 485.4104919433594, 1155.995361328125]",119.88011988011988,3780.460846424103,0.0018231389112770557,0,440,1135,5,Military_Aircraft,0 Military_Aircraft
77,"(1920, 1080)",2073600,"(439, 1135)",5,Military_Aircraft,0.6066374182701111,"[407.07159423828125, 1119.3082275390625, 471.51031494140625, 1151.668701171875]",29.97002997002997,2085.2675222456455,0.0010056266986138336,0,439,1135,5,Military_Aircraft,0 Military_Aircraft
78,"(1920, 1080)",2073600,"(440, 1134)",0,Bird,0.6712188720703125,"[393.37060546875, 1114.2125244140625, 488.1316223144531, 1155.485595703125]",42.38402284834451,3911.0782036967576,0.001886129534961785,0,440,1134,5,Military_Aircraft,0 Military_Aircraft
79,"(1920, 1080)",2073600,"(441, 1137)",5,Military_Aircraft,0.7739188075065613,"[405.80169677734375, 1123.924072265625, 477.582275390625, 1150.6435546875]",94.77355624880258,1917.939908489585,0.0009249324404367211,0,441,1137,5,Military_Aircraft,0 Military_Aircraft
80,"(1920, 1080)",2073600,"(442, 1135)",5,Military_Aircraft,0.8486453294754028,"[408.4021301269531, 1120.7042541503906, 477.5506286621094, 1149.8363342285156]",67.015024300693,2014.4395966082811,0.000971469712870506,0,442,1135,5,Military_Aircraft,0 Military_Aircraft
